so,you,couldnt,i,was,1
and,youve,not,been,punished,1
before,the,kitten,as,a,1
be,sent,to,prison,i,1
had,to,leave,off,never,1
all,over,outside,i,wonder,1
nice,check,kitty,and,really,1
that,they,couldnt,because,there,1
alice,had,begun,with,lets,1
went,into,your,eye,well,1
that,the,kitten,was,speaking,1
and,i,do,so,wish,1
progress,of,the,winding,and,1
was,watching,the,boys,getting,1
grand,game,of,romps,with,1
till,the,summer,comes,again,1
wednesday,week,suppose,they,had,1
and,set,it,up,before,1
some,one,was,kissing,the,1
kitten,lets,pretend,that,youre,1
kitten,had,been,having,a,1
on,talking,more,to,herself,1
for,it,to,imitate,however,1
way,i,can,see,all,1
half,the,things,alice,used,1
the,tail,just,as,i,1
pretending,that,the,kitten,was,1
turns,of,the,worsted,round,1
your,faults,number,one,you,1
would,look,this,led,to,1
a,fire,in,the,winter,1
darlings,till,the,summer,comes,1
it,got,unwound,again,do,1
in,as,cross,a,voice,1
might,do,you,know,what,1
they,couldnt,because,there,were,1
what,to,morrow,is,kitty,1
all,of,it,when,i,1
eyes,open,if,youd,shut,1
succeed,principally,alice,said,because,1
set,it,up,before,the,1
away,by,the,tail,just,1
entirely,for,the,white,kitten,1
down,upon,the,floor,and,1
nose,and,just,now,as,1
the,progress,of,the,winding,1
by,its,ear,with,one,1
and,then,it,covers,them,1
watch,the,progress,of,the,1
kitty,they,dress,themselves,all,1
fault,entirely,for,the,white,1
very,fast,as,she,was,1
so,wish,it,was,true,1
couldnt,i,was,watching,the,1
one,of,them,then,and,1
of,an,hour,and,bearing,1
to,herself,kitty,sat,very,1
bit,i,want,so,much,1
talk,so,much,ill,tell,1
window,and,putting,you,out,1
and,when,i,said,check,1
fault,for,keeping,your,eyes,1
mischief,you,had,been,doing,1
can,tell,you,know,unless,1
been,finished,with,earlier,in,1
excuses,but,listen,number,two,1
you,ought,she,added,looking,1
for,the,white,kitten,had,1
doubt,feeling,that,it,was,1
it,up,before,the,kitten,1
white,quilt,and,perhaps,it,1
do,at,the,end,of,1
no,doubt,feeling,that,it,1
wind,up,and,had,been,1
we,were,playing,just,now,1
make,it,understand,that,it,1
autumn,when,the,leaves,are,1
have,you,got,to,say,1
you,play,chess,now,dont,1
had,begun,with,lets,pretend,1
looking,glass,house,first,theres,1
and,once,she,had,really,1
day,came,or,let,me,1
hour,and,bearing,it,pretty,1
faults,number,one,you,squeaked,1
that,it,couldnt,have,had,1
first,she,held,the,poor,1
been,reduced,at,last,to,1
oh,i,do,so,wish,1
phrase,lets,pretend,she,had,1
oh,thats,very,pretty,cried,1
now,if,youll,only,attend,1
was,certain,that,the,white,1
were,only,two,of,them,1
interrupt,me,she,went,on,1
them,and,alice,had,been,1
in,the,winter,you,never,1
queen,kitty,do,you,know,1
all,the,time,sometimes,to,1
got,unwound,again,do,you,1
and,really,i,might,have,1
the,glass,thats,just,the,1
so,cold,and,it,snowed,1
hyaena,and,youre,a,bone,1
putting,out,one,paw,and,1
so,much,ill,tell,you,1
window,with,me,only,dinah,1
unwound,every,bit,of,the,1
one,thing,was,certain,that,1
shut,them,tight,up,it,1
were,you,how,do,you,1
the,ball,rolled,down,upon,1
your,face,this,morning,now,1
white,kitten,had,been,having,1
should,have,to,go,without,1
you,how,do,you,know,1
and,fields,that,it,kisses,1
begun,with,lets,pretend,were,1
understood,it,and,when,i,1
worsted,to,clap,her,hands,1
worsted,while,i,wasnt,looking,1
could,manage,and,then,she,1
she,held,it,up,to,1
here,i,wish,i,could,1
didnt,succeed,principally,alice,said,1
it,says,go,to,sleep,1
you,wicked,little,thing,cried,1
playing,just,now,you,watched,1
fast,as,she,was,talking,1
washed,by,the,old,cat,1
because,when,we,were,playing,1
loves,the,trees,and,fields,1
and,trying,to,purr,no,1
then,smoke,comes,up,in,1
hands,and,i,do,so,1
at,the,end,of,a,1
you,purred,well,it,was,1
really,i,might,have,won,1
all,my,ideas,about,looking,1
know,im,saving,up,all,1
my,punishments,she,went,on,1
she,had,really,frightened,her,1
ear,with,one,paw,and,1
dont,smile,my,dear,im,1
but,this,is,taking,us,1
one,you,squeaked,twice,while,1
was,kissing,the,window,all,1
youd,have,deserved,it,you,1
as,i,had,put,down,1
just,as,i,had,put,1
you,know,what,to,morrow,1
fifty,dinners,at,once,well,1
nurse,do,lets,pretend,that,1
window,all,over,outside,i,1
whenever,the,wind,blows,oh,1
earlier,in,the,afternoon,and,1
kitty,and,not,talk,so,1
way,beginning,at,the,nose,1
for,keeping,your,eyes,open,1
poor,thing,down,by,its,1
again,when,i,saw,all,1
look,sleepy,in,the,autumn,1
the,arm,chair,taking,the,1
plenty,of,sticks,kitty,only,1
might,see,how,sulky,it,1
a,white,quilt,and,perhaps,1
,,looking,glass,house,1
to,watch,the,progress,of,1
knee,pretending,to,watch,the,1
than,the,kitten,what,would,1
up,the,kitten,and,giving,1
three,turns,of,the,worsted,1
and,there,it,was,spread,1
the,old,cat,for,the,1
it,snowed,so,they,had,1
up,snug,you,know,with,1
a,nice,check,kitty,and,1
say,beginning,with,her,favourite,1
kitten,and,sometimes,to,herself,1
any,of,them,yet,you,1
out,one,paw,and,gently,1
were,playing,just,now,you,1
up,and,folded,your,arms,1
off,never,mind,kitty,well,1
wants,plenty,of,sticks,kitty,1
see,the,bonfire,to,morrow,1
well,it,was,a,nice,1
gently,and,then,it,covers,1
just,now,as,i,said,1
like,her,now,do,try,1
this,is,taking,us,away,1
it,was,in,disgrace,really,1
you,watched,just,as,if,1
cried,alice,dropping,the,ball,1
the,snow,and,youd,have,1
i,shouldnt,mind,that,much,1
they,were,comfortably,settled,again,1
alice,dropping,the,ball,of,1
her,sister,only,the,day,1
to,sleep,darlings,till,the,1
however,the,thing,didnt,succeed,1
the,summer,comes,again,and,1
said,because,the,kitten,wouldnt,1
two,or,three,turns,of,1
got,so,cold,and,it,1
like,that,now,if,youll,1
little,thing,cried,alice,catching,1
you,know,i,think,if,1
my,pieces,kitty,dear,lets,1
wouldnt,fold,its,arms,properly,1
she,added,looking,reproachfully,at,1
pretending,to,watch,the,progress,1
down,among,my,pieces,kitty,1
up,and,had,been,rolling,1
that,it,kisses,them,so,1
know,you,ought,she,added,1
came,or,let,me,see,1
house,first,theres,the,room,1
one,paw,and,gently,touching,1
curled,up,in,a,corner,1
how,do,you,know,she,1
her,ear,nurse,do,lets,1
she,added,ill,put,you,1
only,the,things,go,the,1
perhaps,it,says,go,to,1
into,looking,glass,house,how,1
led,to,a,scramble,in,1
the,way,dinah,washed,her,1
us,away,from,alices,speech,1
holding,up,one,finger,im,1
youll,only,attend,kitty,and,1
its,face,all,over,the,1
speech,to,the,kitten,lets,1
deny,it,kitty,i,heard,1
and,giving,it,a,little,1
the,end,of,a,year,1
the,wrong,way,beginning,at,1
think,if,you,sat,up,1
them,tight,up,it,wouldnt,1
you,all,your,faults,number,1
the,bonfire,and,it,wants,1
only,attend,kitty,and,not,1
dinah,washed,her,childrens,faces,1
thing,cried,alice,catching,up,1
i,was,watching,the,boys,1
table,and,set,it,up,1
theres,a,dear,and,alice,1
taught,you,better,manners,you,1
nice,and,soft,it,sounds,1
and,perhaps,it,says,go,1
black,kitten,had,been,finished,1
soft,it,sounds,just,as,1
just,as,if,some,one,1
dont,interrupt,me,she,went,1
as,they,were,comfortably,settled,1
getting,in,sticks,for,the,1
saw,all,the,mischief,you,1
up,to,the,looking,glass,1
check,you,purred,well,it,1
wind,blows,oh,thats,very,1
behind,the,fireplace,oh,i,1
were,kings,and,queens,and,1
dinners,at,once,well,i,1
sister,who,liked,being,very,1
go,and,see,the,bonfire,1
up,the,ball,again,but,1
yet,you,know,im,saving,1
frightened,her,old,nurse,by,1
said,check,you,purred,well,1
green,and,dance,about,whenever,1
her,what,you,were,thirsty,1
kitty,only,it,got,so,1
alice,catching,up,the,kitten,1
the,ball,of,worsted,to,1
into,the,arm,chair,taking,1
you,unwound,every,bit,of,1
that,it,was,in,disgrace,1
the,kitten,and,the,worsted,1
had,saved,up,all,my,1
the,things,alice,used,to,1
rubbed,its,face,all,over,1
her,hands,and,i,do,1
dinah,you,know,you,ought,1
i,heard,you,whats,that,1
at,the,nose,and,just,1
at,the,old,cat,and,1
when,i,saw,all,the,1
youd,shut,them,tight,up,1
watching,the,boys,getting,in,1
said,she,was,hard,at,1
and,dance,about,whenever,the,1
what,have,you,got,to,1
all,the,mischief,you,had,1
soon,as,they,were,comfortably,1
of,them,then,and,ill,1
of,milk,before,her,what,1
know,with,a,white,quilt,1
how,would,you,like,that,1
and,down,till,it,had,1
theres,the,room,you,can,1
so,angry,kitty,alice,went,1
ill,be,all,the,rest,1
smokes,and,then,smoke,comes,1
they,had,saved,up,all,1
the,kitten,and,sometimes,to,1
if,some,one,was,kissing,1
a,bone,but,this,is,1
number,two,you,pulled,snowdrop,1
certain,that,the,white,kitten,1
lets,pretend,were,kings,and,1
hungry,hyaena,and,youre,a,1
it,might,do,you,know,1
and,putting,you,out,into,1
purr,no,doubt,feeling,that,1
rug,all,knots,and,tangles,1
as,i,said,she,was,1
oh,you,wicked,little,thing,1
when,we,were,playing,just,1
sticks,for,the,bonfire,and,1
kitty,and,youve,not,been,1
had,been,finished,with,earlier,1
hearth,rug,all,knots,and,1
wasnt,looking,thats,three,faults,1
been,doing,i,was,very,1
white,kitten,which,was,lying,1
three,you,unwound,every,bit,1
talking,all,the,time,sometimes,1
summer,kitty,they,dress,themselves,1
if,youll,only,attend,kitty,1
they,wake,up,in,the,1
see,suppose,each,punishment,was,1
to,be,going,without,a,1
to,clap,her,hands,and,1
kitten,had,been,having,its,1
outside,i,wonder,if,the,1
you,couldnt,i,was,watching,1
how,nice,and,soft,it,1
faces,was,this,first,she,1
now,you,watched,just,as,1
very,exact,had,argued,that,1
neck,just,to,see,how,1
i,should,have,to,go,1
again,and,there,it,was,1
number,three,you,unwound,every,1
look,exactly,like,her,now,1
more,to,herself,than,the,1
reproachfully,at,the,old,cat,1
trying,to,purr,no,doubt,1
giving,it,a,little,kiss,1
put,down,the,saucer,of,1
with,one,paw,and,then,1
it,would,be,glad,to,1
what,you,were,thirsty,were,1
the,summer,kitty,they,dress,1
do,you,hear,the,snow,1
wake,up,in,the,summer,1
says,go,to,sleep,darlings,1
sister,only,the,day,before,1
them,yet,you,know,im,1
morrow,is,kitty,alice,began,1
kings,and,queens,and,her,1
through,into,looking,glass,house,1
and,bearing,it,pretty,well,1
been,punished,for,any,of,1
among,my,pieces,kitty,dear,1
the,time,sometimes,to,the,1
face,all,over,the,wrong,1
or,let,me,see,suppose,1
looking,glass,house,how,would,1
the,boys,getting,in,sticks,1
face,washed,by,the,old,1
as,if,some,one,was,1
the,kitten,wouldnt,fold,its,1
milk,before,her,what,you,1
you,got,to,say,for,1
quilt,and,perhaps,it,says,1
added,ill,put,you,through,1
to,the,kitten,and,sometimes,1
bit,behind,the,fireplace,oh,1
hadnt,been,for,that,nasty,1
her,childrens,faces,was,this,1
directly,she,added,ill,put,1
if,it,would,be,glad,1
time,sometimes,to,the,kitten,1
face,this,morning,now,you,1
the,red,queen,off,the,1
on,the,white,kitten,which,1
fields,that,it,kisses,them,1
a,scramble,in,which,the,1
saving,up,all,your,punishments,1
couldnt,have,had,any,hand,1
window,panes,kitty,how,nice,1
it,couldnt,have,had,any,1
was,the,black,kittens,fault,1
i,said,check,you,purred,1
catching,up,the,kitten,and,1
all,because,alice,had,begun,1
asleep,the,kitten,had,been,1
its,arms,properly,so,to,1
pretty,cried,alice,dropping,the,1
ball,of,worsted,alice,had,1
can,see,through,the,glass,1
covers,them,up,snug,you,1
kitty,do,you,know,i,1
then,and,ill,be,all,1
it,wouldnt,have,happened,now,1
could,tell,you,half,the,1
now,and,then,putting,out,1
she,was,talking,all,the,1
wonder,if,the,snow,loves,1
guessed,if,youd,been,up,1
other,way,i,can,see,1
a,chair,all,but,the,1
speaking,her,paw,went,into,1
the,woods,look,sleepy,in,1
two,you,pulled,snowdrop,away,1
kitten,and,the,worsted,with,1
paw,she,rubbed,its,face,1
things,go,the,other,way,1
i,could,tell,you,half,1
wish,i,could,tell,you,1
then,it,covers,them,up,1
sure,the,woods,look,sleepy,1
as,if,it,would,be,1
if,youd,been,up,in,1
favourite,phrase,lets,pretend,she,1
do,so,wish,i,could,1
the,great,arm,chair,half,1
down,till,it,had,all,1
it,and,when,i,said,1
herself,than,the,kitten,what,1
been,having,a,grand,game,1
paw,and,gently,touching,the,1
you,can,see,through,the,1
our,drawing,room,only,the,1
glass,house,first,theres,the,1
whether,theyve,a,fire,in,1
when,i,get,upon,a,1
half,talking,to,herself,and,1
the,looking,glass,that,it,1
so,while,alice,was,sitting,1
it,was,and,if,youre,1
pieces,kitty,dear,lets,pretend,1
looking,reproachfully,at,the,old,1
the,worsted,while,i,wasnt,1
all,the,rest,and,once,1
every,bit,of,the,worsted,1
if,youd,shut,them,tight,1
it,was,a,nice,check,1
of,sticks,kitty,only,it,1
with,it,it,was,the,1
that,much,id,far,rather,1
do,with,it,it,was,1
boys,getting,in,sticks,for,1
you,ought,dinah,you,know,1
chair,half,talking,to,herself,1
for,its,good,but,the,1
the,kitten,had,been,having,1
kitty,dear,lets,pretend,and,1
it,got,so,cold,and,1
do,you,know,what,to,1
the,snow,against,the,window,1
your,arms,youd,look,exactly,1
been,rolling,it,up,and,1
then,putting,out,one,paw,1
snow,against,the,window,panes,1
ought,to,have,taught,you,1
with,the,other,paw,she,1
cross,a,voice,as,she,1
the,same,as,our,drawing,1
attend,kitty,and,not,talk,1
the,white,kitten,had,had,1
tidy,so,you,couldnt,i,1
and,youd,have,deserved,it,1
arm,chair,half,talking,to,1
to,have,taught,you,better,1
without,fifty,dinners,at,once,1
the,winding,and,now,and,1
looking,glass,house,one,thing,1
thats,your,fault,for,keeping,1
rolled,down,upon,the,floor,1
all,come,undone,again,and,1
had,been,having,a,grand,1
the,ball,of,worsted,alice,1
you,squeaked,twice,while,dinah,1
kitty,alice,began,youd,have,1
from,alices,speech,to,the,1
was,making,you,tidy,so,1
manners,you,ought,dinah,you,1
to,know,whether,theyve,a,1
i,suppose,when,the,day,1
say,well,you,can,be,1
see,through,the,glass,thats,1
you,see,that,it,couldnt,1
of,them,yet,you,know,1
wouldnt,have,happened,now,dont,1
never,mind,kitty,well,go,1
to,say,well,you,can,1
unless,our,fire,smokes,and,1
it,might,see,how,sulky,1
the,winter,you,never,can,1
once,she,had,really,frightened,1
in,the,middle,oh,you,1
that,bit,i,want,so,1
suddenly,in,her,ear,nurse,1
the,middle,oh,you,wicked,1
you,better,manners,you,ought,1
i,wasnt,looking,thats,three,1
fold,its,arms,properly,so,1
yourself,now,dont,interrupt,me,1
principally,alice,said,because,the,1
after,its,own,tail,in,1
listen,number,two,you,pulled,1
white,kitten,had,had,nothing,1
and,then,putting,out,one,1
and,the,worsted,with,her,1
yards,and,yards,of,it,1
sat,very,demurely,on,her,1
before,all,because,alice,had,1
know,i,was,so,angry,1
alice,used,to,say,beginning,1
little,kiss,to,make,it,1
before,her,what,you,were,1
say,pretending,that,the,kitten,1
pretend,she,had,had,quite,1
so,wish,i,could,see,1
to,say,for,yourself,now,1
ought,dinah,you,know,you,1
hear,the,snow,against,the,1
she,was,hard,at,work,1
floor,and,yards,and,yards,1
was,talking,all,the,time,1
you,know,she,wasnt,thirsty,1
afternoon,and,so,while,alice,1
you,know,i,was,so,1
comfortably,settled,again,when,i,1
trying,to,wind,up,and,1
they,had,to,leave,off,1
all,meant,for,its,good,1
had,really,frightened,her,old,1
arms,properly,so,to,punish,1
at,once,well,i,shouldnt,1
your,fault,for,keeping,your,1
through,the,glass,thats,just,1
suppose,when,the,day,came,1
was,and,if,youre,not,1
so,gently,and,then,it,1
her,and,began,winding,up,1
you,know,unless,our,fire,1
the,white,kitten,had,been,1
and,half,asleep,the,kitten,1
in,the,summer,kitty,they,1
for,wednesday,week,suppose,they,1
that,it,might,see,how,1
against,the,window,panes,kitty,1
do,try,theres,a,dear,1
washed,her,childrens,faces,was,1
on,her,knee,pretending,to,1
punish,it,she,held,it,1
kittens,fault,entirely,for,the,1
couldnt,because,there,were,only,1
them,then,and,ill,be,1
dress,themselves,all,in,green,1
it,kisses,them,so,gently,1
thing,didnt,succeed,principally,alice,1
youd,look,exactly,like,her,1
paw,went,into,your,eye,1
away,from,alices,speech,to,1
old,nurse,by,shouting,suddenly,1
liked,being,very,exact,had,1
been,having,its,face,washed,1
worsted,round,the,kittens,neck,1
leaves,are,getting,brown,kitty,1
you,little,mischievous,darling,what,1
unwound,again,do,you,know,1
could,see,that,bit,i,1
with,her,and,began,winding,1
kittens,neck,just,to,see,1
thing,down,by,its,ear,1
got,the,red,queen,off,1
without,them,than,eat,them,1
go,to,sleep,darlings,till,1
tell,you,all,your,faults,1
went,on,talking,more,to,1
you,never,can,tell,you,1
arm,chair,taking,the,kitten,1
angry,kitty,alice,went,on,1
a,model,for,it,to,1
cant,deny,it,kitty,i,1
in,sticks,for,the,bonfire,1
reduced,at,last,to,say,1
nasty,knight,that,came,wiggling,1
to,herself,than,the,kitten,1
which,the,ball,rolled,down,1
end,of,a,year,i,1
thing,was,certain,that,the,1
glass,thats,just,the,same,1
a,long,argument,with,her,1
want,so,much,to,know,1
how,sulky,it,was,and,1
i,get,upon,a,chair,1
winding,up,the,ball,again,1
when,i,said,check,you,1
kitty,well,go,and,see,1
she,scrambled,back,into,the,1
had,had,quite,a,long,1
kisses,them,so,gently,and,1
youre,a,bone,but,this,1
be,glad,to,help,if,1
dropping,the,ball,of,worsted,1
lets,pretend,that,im,a,1
been,for,that,nasty,knight,1
for,yourself,now,dont,interrupt,1
look,this,led,to,a,1
sleepy,in,the,autumn,when,1
a,dear,and,alice,got,1
meant,for,its,good,but,1
spread,over,the,hearth,rug,1
fireplace,oh,i,do,so,1
the,ball,as,if,it,1
manage,and,then,she,scrambled,1
then,when,the,miserable,day,1
was,sitting,curled,up,in,1
properly,so,to,punish,it,1
going,to,tell,you,all,1
things,alice,used,to,say,1
got,to,say,for,yourself,1
faults,kitty,and,youve,not,1
half,asleep,the,kitten,had,1
it,understand,that,it,was,1
the,poor,thing,down,by,1
bonfire,and,it,wants,plenty,1
can,see,all,of,it,1
gently,touching,the,ball,as,1
again,do,you,know,i,1
it,was,spread,over,the,1
when,the,day,came,or,1
try,theres,a,dear,and,1
only,two,of,them,and,1
you,had,been,doing,i,1
and,here,i,wish,i,1
i,said,she,was,hard,1
a,voice,as,she,could,1
cold,and,it,snowed,so,1
model,for,it,to,imitate,1
scramble,in,which,the,ball,1
had,argued,that,they,couldnt,1
having,its,face,washed,by,1
red,queen,off,the,table,1
and,yards,and,yards,of,1
been,trying,to,wind,up,1
now,dont,smile,my,dear,1
smile,my,dear,im,asking,1
up,in,the,summer,kitty,1
go,without,them,than,eat,1
the,things,go,the,other,1
with,me,only,dinah,was,1
as,cross,a,voice,as,1
them,do,you,hear,the,1
wish,i,could,see,that,1
the,kittens,neck,just,to,1
exact,had,argued,that,they,1
was,in,disgrace,really,dinah,1
well,i,shouldnt,mind,that,1
the,snow,loves,the,trees,1
had,been,trying,to,wind,1
alice,was,sitting,curled,up,1
you,through,into,looking,glass,1
in,a,corner,of,the,1
im,going,to,tell,you,1
winter,you,never,can,tell,1
pretend,that,im,a,hungry,1
thats,very,pretty,cried,alice,1
might,have,won,if,it,1
she,went,on,holding,up,1
came,i,should,have,to,1
that,it,was,all,meant,1
alice,said,because,the,kitten,1
just,now,you,watched,just,1
know,unless,our,fire,smokes,1
settled,again,when,i,saw,1
with,lets,pretend,were,kings,1
morrow,here,alice,wound,two,1
was,so,angry,kitty,alice,1
of,it,when,i,get,1
but,the,black,kitten,had,1
washing,your,face,this,morning,1
number,one,you,squeaked,twice,1
that,came,wiggling,down,among,1
the,window,all,over,outside,1
out,into,the,snow,and,1
had,all,come,undone,again,1
in,green,and,dance,about,1
knots,and,tangles,with,the,1
had,nothing,to,do,with,1
up,one,finger,im,going,1
dinah,was,washing,your,face,1
so,much,to,know,whether,1
so,you,see,that,it,1
have,deserved,it,you,little,1
whats,that,you,say,pretending,1
but,the,bit,behind,the,1
voice,as,she,could,manage,1
to,morrow,here,alice,wound,1
pretty,well,considering,so,you,1
lets,pretend,that,youre,the,1
and,alice,had,been,reduced,1
blows,oh,thats,very,pretty,1
taking,the,kitten,and,the,1
mind,kitty,well,go,and,1
didnt,get,on,very,fast,1
to,prison,i,suppose,when,1
and,queens,and,her,sister,1
had,been,rolling,it,up,1
do,so,wish,it,was,1
demurely,on,her,knee,pretending,1
comes,again,and,when,they,1
kitten,and,giving,it,a,1
long,argument,with,her,sister,1
argument,with,her,sister,only,1
ball,as,if,it,would,1
alice,wound,two,or,three,1
it,seriously,because,when,we,1
alice,went,on,as,soon,1
ill,put,you,through,into,1
in,her,ear,nurse,do,1
cat,for,the,last,quarter,1
mind,that,much,id,far,1
now,as,i,said,she,1
thirsty,were,you,how,do,1
id,far,rather,go,without,1
to,herself,and,half,asleep,1
true,im,sure,the,woods,1
kitten,which,was,lying,quite,1
bearing,it,pretty,well,considering,1
as,if,you,understood,it,1
to,go,without,fifty,dinners,1
snug,you,know,with,a,1
morning,now,you,cant,deny,1
kitten,had,had,nothing,to,1
having,a,grand,game,of,1
and,her,sister,who,liked,1
sticks,kitty,only,it,got,1
in,the,afternoon,and,so,1
alice,had,been,trying,to,1
sat,up,and,folded,your,1
have,won,if,it,hadnt,1
rather,go,without,them,than,1
really,dinah,ought,to,have,1
quarter,of,an,hour,and,1
nearly,opening,the,window,and,1
this,morning,now,you,cant,1
well,considering,so,you,see,1
ball,again,but,she,didnt,1
snow,loves,the,trees,and,1
when,the,leaves,are,getting,1
of,worsted,to,clap,her,1
pretend,that,youre,the,red,1
once,well,i,shouldnt,mind,1
woods,look,sleepy,in,the,1
the,kitten,running,after,its,1
or,three,turns,of,the,1
good,but,the,black,kitten,1
and,so,while,alice,was,1
have,to,go,without,fifty,1
if,you,understood,it,and,1
as,she,could,manage,and,1
only,it,got,so,cold,1
be,one,of,them,then,1
queen,off,the,table,and,1
the,mischief,the,way,dinah,1
dance,about,whenever,the,wind,1
running,after,its,own,tail,1
been,up,in,the,window,1
as,our,drawing,room,only,1
finger,im,going,to,tell,1
and,then,smoke,comes,up,1
have,guessed,if,youd,been,1
kitten,as,a,model,for,1
youre,not,good,directly,she,1
was,all,meant,for,its,1
cried,alice,catching,up,the,1
romps,with,the,ball,of,1
and,yards,of,it,got,1
her,paw,went,into,your,1
up,all,my,punishments,she,1
ear,nurse,do,lets,pretend,1
come,undone,again,and,there,1
had,put,down,the,saucer,1
first,theres,the,room,you,1
watched,just,as,if,you,1
it,pretty,well,considering,so,1
little,mischievous,darling,what,have,1
doing,i,was,very,nearly,1
you,know,you,ought,she,1
up,all,your,punishments,for,1
my,ideas,about,looking,glass,1
you,say,pretending,that,the,1
to,do,with,it,it,1
about,looking,glass,house,first,1
without,a,dinner,then,when,1
alice,had,been,reduced,at,1
knight,that,came,wiggling,down,1
used,to,say,beginning,with,1
would,they,do,at,the,1
by,shouting,suddenly,in,her,1
round,the,kittens,neck,just,1
as,she,was,talking,all,1
suppose,they,had,saved,up,1
kissing,the,window,all,over,1
i,was,so,angry,kitty,1
do,you,know,she,wasnt,1
you,pulled,snowdrop,away,by,1
in,the,window,with,me,1
be,all,the,rest,and,1
it,to,imitate,however,the,1
me,see,suppose,each,punishment,1
dont,make,any,more,excuses,1
and,if,youre,not,good,1
bonfire,to,morrow,here,alice,1
you,like,that,now,if,1
glass,house,how,would,you,1
and,began,winding,up,the,1
red,queen,kitty,do,you,1
had,been,doing,i,was,1
ideas,about,looking,glass,house,1
to,punish,it,she,held,1
know,i,think,if,you,1
eat,them,do,you,hear,1
kitty,can,you,play,chess,1
but,listen,number,two,you,1
with,earlier,in,the,afternoon,1
in,which,the,ball,rolled,1
a,hungry,hyaena,and,youre,1
paw,and,then,with,the,1
and,gently,touching,the,ball,1
tangles,with,the,kitten,running,1
tell,you,know,unless,our,1
im,saving,up,all,your,1
it,it,was,the,black,1
had,quite,a,long,argument,1
upon,the,floor,and,yards,1
with,the,ball,of,worsted,1
last,to,say,well,you,1
off,the,table,and,set,1
now,for,number,three,you,1
lying,quite,still,and,trying,1
do,you,know,i,was,1
you,were,thirsty,were,you,1
her,favourite,phrase,lets,pretend,1
much,ill,tell,you,all,1
to,purr,no,doubt,feeling,1
your,eye,well,thats,your,1
shouting,suddenly,in,her,ear,1
the,other,way,i,can,1
you,cant,deny,it,kitty,1
them,so,gently,and,then,1
if,youre,not,good,directly,1
pretend,were,kings,and,queens,1
of,the,worsted,while,i,1
prison,i,suppose,when,the,1
really,frightened,her,old,nurse,1
